ID Mobil,Nama Mobil,Tipe Mobil,Harga Sewa,Transmisi,Jumlah Penumpang,Plat Nomor,Status
1,Toyota Avanza,MPV,300000,Manual,7,B1234XYZ,Tersedia
2,Honda Civic,Sedan,500000,Automatic,5,B2345ABC,Tersedia
3,Isuzu Panther,MPV,350000,Manual,7,B3456DEF,Tersedia
4,Mitsubishi Pajero,4x4,700000,Automatic,7,B4567GHI,Tersedia
5,Daihatsu Xenia,MPV,320000,Manual,7,B5678JKL,Tersedia
6,Suzuki Swift,Hatchback,250000,Manual,5,B6789MNO,Tersedia
7,Nissan X-Trail,SUV,600000,Automatic,5,B7890PQR,Tersedia
8,Hyundai Elantra,Sedan,450000,Automatic,5,B8901STU,Tersedia
9,Ford Ranger,Pickup,800000,Manual,4,B9012VWX,Tersedia
10,Chevrolet Trax,SUV,550000,Automatic,5,B0123YZA,Tersedia
11,Hyundai Santa Fe,SUV,750000,Automatic,7,B1234BCD,Tersedia
12,Toyota Fortuner,SUV,900000,Automatic,7,B2345DEF,Tersedia
13,Honda CR-V,SUV,650000,Automatic,5,B3456GHI,Tersedia
14,Toyota Camry,Sedan,700000,Automatic,5,B4567JKL,Tersedia
15,Audi Q7,SUV,1200000,Automatic,7,B5678MNO,Tersedia
16,BMW X5,SUV,1100000,Automatic,5,B6789PQR,Tersedia
17,Mercedes-Benz GLC,SUV,1050000,Automatic,5,B7890STU,Tersedia
18,Volkswagen Tiguan,SUV,850000,Automatic,5,B8901VWX,Tersedia
19,Peugeot 3008,SUV,850000,Automatic,5,B9012YZA,Tersedia
20,Ford Mustang,Sports,1500000,Automatic,2,B0123BCD,Tersedia
